Provinsi,Tipe Administratif,Nama Daerah,TK,KP,PDRB,PPM,TPT,IPM
Banten,Kota,Cilegon,1418.02,2458,224,3.25,9.33,72.65
Banten,Kota,Kota Serang,15.34,2541,43,5.36,8.16,71.68
Banten,Kabupaten,Lebak,18.98,378,21,8.41,7.69,63.37
Banten,Kabupaten,Pandeglang,20.26,440,22,9.61,8.33,64.34
Banten,Kabupaten,Serang,13.65,866,48,4.3,12.77,65.93
Banten,Kabupaten,Tangerang,9.15,3649,35,5.18,9.7,71.59
Jakarta Raya,Kota,Jakarta Barat,1110,19757,169,3.39,5,80.88
Jakarta Raya,Kota,Jakarta Pusat,1420,19212,692,3.59,6.64,81.01
Jakarta Raya,Kota,Jakarta Selatan,1030,15900,262,2.83,6.31,84.44
Jakarta Raya,Kota,Jakarta Timur,810,15508,156,3.14,6.67,82.06
Jakarta Raya,Kota,Jakarta Utara,1490,12255,272,5.35,7.01,79.87
Jakarta Raya,Kabupaten,Kepulauan Seribu,1300,2774,339,11.98,5.33,70.91
Jawa Barat,Kabupaten,Bandung,59,2103,30,6.65,5.07,71.75
Jawa Barat,Kota,Banjar,5,1611,22,6.67,5.95,71.25
Jawa Barat,Kabupaten,Bogor,45,2155,38,6.69,9.83,69.69
Jawa Barat,Kabupaten,Ciamis,13,840,25,6.7,4.64,69.63
Jawa Barat,Kabupaten,Cianjur,20,589,19,6.71,10.23,64.62
Jawa Barat,Kota,Cimahi,13,15478,48,6.72,8,77.56
Jawa Barat,Kabupaten,Cirebon,27,2210,21,6.73,10.64,68.05
Jawa Barat,Kabupaten,Garut,15,848,20,6.75,7.12,65.42
Jawa Barat,Kabupaten,Indramayu,37,843,44,6.76,8.46,66.36
Jawa Barat,Kabupaten,Karawang,77,1414,93,6.77,9.12,69.89
Jawa Barat,Kota,Kota Bandung,24,14932,106,6.78,8.05,81.06
Jawa Barat,Kota,Kota Bogor,29,9256,38,6.8,9.74,75.66
Jawa Barat,Kota,Kota Cirebon,24,8466,68,6.81,9.07,74.35
Jawa Barat,Kota,Kota Sukabumi,18,6762,35,6.82,8.57,73.55
Jawa Barat,Kota,Kota Tasikmalaya,13,3862,30,6.83,6.89,72.03
Jawa Barat,Kabupaten,Kuningan,11,968,21,6.84,9.1,68.55
Jawa Barat,Kabupaten,Majalengka,10,996,23,6.85,5,66.72
Jawa Barat,Kabupaten,Purwakarta,50,1155,66,6.86,9.94,69.98
Jawa Barat,Kabupaten,Subang,30,834,24,6.87,8.71,68.31
Jawa Barat,Kabupaten,Sukabumi,23,594,25,6.88,7.84,66.05
Jawa Barat,Kabupaten,Sumedang,29,757,28,6.89,7.54,70.99
Jawa Barat,Kabupaten,Tasikmalaya,12,686,19,6.9,6.92,65
Jawa Tengah,Kabupaten,Banjarnegara,0.5,858,21.857,15.46,3.99,66.54
