"latitude","longitude","confidence"
-32.16,151.334,76
-32.162,151.353,76
-32.161,151.347,90
-32.578,150.572,70
-32.582,150.602,84
-32.594,150.616,84
-32.596,150.632,89
-32.608,150.646,79
-32.573,150.235,91
-32.594,150.415,73
-32.595,150.43,89
-32.597,150.446,85
-32.644,150.768,81
-32.646,150.784,85
-32.647,150.777,89
-32.66,150.792,85
-32.662,150.808,67
-32.673,150.807,86
-32.674,150.822,71
-32.623,150.251,67
-32.7,150.851,78
-32.662,150.214,100
-32.74,150.912,68
-32.749,150.894,88
-32.667,150.207,81
-32.75,150.887,93
-32.688,150.116,84
-32.69,150.13,100
-32.692,150.145,100
-32.693,150.16,98
-32.695,150.174,82
-32.698,150.202,94
-32.7,150.216,100
-32.705,150.172,96
-32.707,150.186,96
-32.709,150.112,100
-32.711,150.127,100
-32.72,150.11,92
-32.721,150.125,94
-32.877,150.603,66
-32.991,150.186,89
-32.982,149.918,96
-32.988,149.978,86
-33.002,150.006,90
-33.004,150.021,85
-33.009,150.014,88
-33.017,149.983,82
-33.027,149.98,72
-33.039,149.993,90
-33.051,150.006,81
-33.131,150.236,83
-33.192,150.068,73
-33.2,150.051,71
-33.197,150.061,87
-33.228,150.055,83
-33.23,150.069,87
-33.453,150.346,98
-33.454,150.361,93
-33.747,150.143,87
-33.749,150.159,99
-33.758,150.142,100
-33.759,150.157,100
-33.752,150.152,100
-33.754,150.168,77
-33.763,150.151,90
-33.778,149.992,84
-33.78,150.007,100
-33.781,150.022,71
-33.788,150.083,78
-33.79,150.006,100
-33.832,149.998,86
-33.834,150.014,77
-33.836,150.029,84
-33.838,150.045,79
-33.839,150.06,81
-33.84,150.021,90
-33.842,150.037,77
-33.843,150.052,91
-33.856,150.065,87
-33.857,150.081,89
-33.9,150.073,91
-33.901,150.089,83
-33.91,150.072,76
-34.204,150.02,80
-34.211,149.987,93
-34.213,150.003,100
-34.214,150.019,100
-34.216,150.035,66
-34.22,149.971,84
-34.222,149.986,85
-34.266,150.297,65
-34.24,149.953,100
-34.241,149.969,100
-34.25,149.951,100
-34.252,149.966,100
-34.254,149.982,69
-34.872,150.212,70
-34.879,150.178,93
-34.888,150.161,65
-34.938,150.219,100
-34.94,150.212,86
-34.942,150.23,82
-34.949,150.193,76
-34.955,150.143,81
-34.957,150.159,94
-34.958,150.175,100
-34.96,150.193,100
-34.968,150.158,100
-34.969,150.174,65
-34.989,150.154,88
-35.008,150.12,69
-35.247,150.017,82
-37.41,147.742,71
-37.595,149.421,87
-37.597,149.438,65
-37.489,147.893,78
-37.49,147.906,85
-37.492,147.92,83
-37.497,147.879,71
-37.501,147.57,100
-37.503,147.583,100
-37.513,147.582,87
-37.548,147.879,82
-37.597,147.954,80
-37.61,147.98,79
-37.61,147.973,82
-18.429,144.037,70
-19.577,144.524,82
-25.966,150.482,95
-25.967,150.494,99
-25.969,150.506,77
-25.992,150.527,86
-26.285,150.439,79
-26.293,150.426,76
-26.295,150.438,100
-26.296,150.45,100
-26.298,150.461,95
-26.305,150.436,75
-26.306,150.448,100
-26.308,150.46,100
-26.309,150.472,72
-26.308,150.454,100
-26.31,150.466,95
-26.5,150.691,71
-26.51,150.689,75
-31.349,151.722,75
-31.374,151.737,90
-31.387,151.752,76
-31.373,151.748,83
-31.4,151.779,100
-31.401,151.797,100
-31.411,151.778,100
-31.413,151.796,100
-31.442,152.084,76
-31.49,151.333,90
-31.597,152.132,69
-31.59,151.215,88
-31.594,151.248,66
-31.605,151.247,79
-31.591,151.209,79
-31.592,151.224,80
-31.605,151.239,70
-10.015,148.01,79
-19.92,122.954,75
-19.93,122.953,80
-19.939,122.951,77
-19.94,122.961,68
-21.625,130.822,84
-21.649,125.454,74
-21.659,125.452,100
-21.66,125.463,100
-21.669,125.461,88
-21.717,123.99,76
-21.726,123.989,70
-21.735,123.987,100
-21.737,123.997,88
-21.743,123.976,72
-21.744,123.986,100
-21.746,123.995,77
-21.753,123.984,77
-21.762,123.983,87
-22.514,128.139,83
-22.637,129.077,71
-21.391,118.53,65
-21.394,118.547,72
-21.693,119.388,84
-23.16,129.678,81
-23.163,129.697,83
-21.695,119.381,72
-23.166,129.69,86
-23.677,128.62,88
-23.675,128.615,88
-23.711,128.528,70
-23.713,128.544,82
-23.305,124.408,94
-23.306,124.418,78
-23.639,126.334,85
-23.492,124.63,65
-24.651,128.28,94
-24.652,128.289,87
-24.661,128.272,86
-24.663,128.287,94
-24.674,128.286,80
-24.629,127.332,79
-24.633,127.325,90
-24.635,127.339,87
-24.644,127.324,94
-24.645,127.338,91
-24.676,127.32,99
-24.675,127.222,75
-24.676,127.236,82
-24.686,127.318,100
-24.688,127.332,99
-24.685,127.221,88
-24.687,127.235,93
-24.693,127.289,82
-24.697,127.317,100
-24.698,127.33,82
-24.696,127.219,86
-24.697,127.233,100
-24.699,127.247,100
-24.701,127.26,84
-24.702,127.274,72
-24.704,127.288,92
-24.706,127.218,96
-24.708,127.232,99
-24.709,127.245,100
-24.714,127.286,76
-24.701,127.212,78
-24.702,127.226,91
-24.704,127.239,100
-24.705,127.253,91
-24.707,127.267,82
-24.709,127.281,90
-24.71,127.294,77
-24.711,127.211,99
-24.713,127.224,100
-24.714,127.238,93
-24.719,127.279,90
-24.721,127.293,85
-24.722,127.307,88
-24.723,127.223,100
-24.725,127.236,97
-24.73,127.278,97
-24.731,127.291,94
-24.733,127.305,100
-24.734,127.221,94
-24.735,127.235,100
-24.737,127.249,87
-24.742,127.29,100
-24.743,127.304,100
-24.746,127.234,100
-24.747,127.247,91
-24.751,127.275,99
-24.752,127.289,100
-24.754,127.302,97
-24.761,127.273,95
-24.763,127.287,100
-24.765,127.301,98
-24.773,127.286,100
-24.775,127.299,81
-25.267,130.105,81
-25.284,130.015,80
-25.305,130.213,80
-25.297,130.014,70
-25.309,130.123,66
-25.311,130.145,97
-25.315,130.189,71
-25.318,130.212,100
-25.308,130.14,90
-25.315,130.206,100
-25.317,130.229,91
-25.321,130.138,100
-25.326,130.182,74
-25.328,130.205,100
-25.33,130.227,88
-25.319,129.984,83
-25.322,130.005,67
-25.335,130.136,80
-25.339,130.181,100
-25.341,130.203,100
-25.339,130.047,65
-25.345,130.113,100
-25.348,130.135,100
-25.352,130.179,100
-25.354,130.202,100
-25.352,130.045,93
-25.354,130.067,70
-25.719,131.543,72
-25.72,131.536,65
-25.76,129.858,82
-25.762,129.879,86
-25.833,128.361,78
-25.853,128.352,86
-25.864,128.351,79
-26.467,125.786,90
-26.469,125.798,83
-26.477,125.784,99
-26.479,125.796,92
-26.482,125.747,89
-26.484,125.759,79
-26.815,125.405,90
-26.825,125.404,73
-26.659,124.094,100
-26.661,124.104,100
-26.706,123.06,79
-26.715,123.058,95
-27.23,125.872,100
-27.834,131.897,100
-27.836,131.929,95
-27.849,131.896,100
-27.851,131.928,93
-27.245,125.832,88
-27.246,125.844,98
-27.864,131.894,100
-27.867,131.926,69
-27.861,131.888,100
-27.863,131.92,89
-27.876,131.886,72
-28.009,131.457,70
-28.011,131.487,100
-27.717,128.13,99
-27.719,128.147,100
-27.729,128.128,100
-27.731,128.146,100
-27.78,128.602,81
-27.714,128.142,100
-27.716,128.159,70
-28.01,131.48,100
-27.724,128.123,76
-27.726,128.14,100
-27.728,128.158,95
-27.738,128.138,100
-27.784,128.595,82
-27.89,128.5,98
-27.902,128.499,100
-27.904,128.517,100
-27.912,128.478,68
-27.914,128.497,100
-27.916,128.516,100
-28.343,129.43,97
-28.354,129.406,99
-28.356,129.428,99
-28.367,129.405,92
-28.374,129.207,73
-28.386,129.205,74
-28.373,129.2,72
-28.386,129.199,84
-28.399,129.197,100
-28.401,129.219,91
-28.411,129.196,100
-28.414,129.217,100
-28.426,129.347,100
-28.428,129.369,87
-28.591,128.499,87
-28.593,128.519,87
-28.603,128.498,91
-28.621,128.554,84
-28.623,128.574,90
-27.923,122.767,94
-27.925,122.777,67
-28.633,128.553,69
-27.932,122.765,100
-27.934,122.775,100
-28.68,128.647,91
-28.684,128.66,88
-27.997,122.83,73
-28.712,128.557,82
-28.724,128.555,91
-28.728,128.595,89
-28.73,128.614,100
-28.734,128.534,83
-28.736,128.554,98
-28.74,128.593,88
-28.742,128.613,85
-28.748,128.552,100
-28.763,128.571,100
-28.765,128.59,100
-28.767,128.61,86
-28.785,128.789,87
-28.795,128.768,87
-28.797,128.788,100
-28.752,128.546,100
-28.754,128.566,67
-28.766,128.564,100
-28.768,128.584,100
-28.77,128.604,96
-28.787,128.784,80
-28.799,128.782,100
-28.801,128.802,98
-28.812,128.781,100
-28.814,128.801,95
-28.824,128.779,100
-29.105,131.311,97
-29.105,131.304,95
-28.902,128.784,70
-29.009,128.148,78
-29.021,128.147,72
-29.051,128.2,78
-29.063,128.198,100
-28.178,121.209,68
-28.187,121.207,98
-28.188,121.218,100
-29.19,128.02,87
-29.2,128,97
-29.202,128.018,100
-29.204,128.037,84
-29.205,128.055,74
