"Code","Name","ListingDate","Shares","ListingBoard","sector"
"ABBA","Mahaka Media Tbk.","2002-04-03T00:00:00",2755125000,"PENGEMBANGAN","TRADE"
"AGAR","Asia Sejahtera Mina Tbk.","2019-12-02T00:00:00",1000000000,"Pengembangan","TRADE"
"AIMS","Akbar Indo Makmur Stimec Tbk","2001-07-20T00:00:00",220000000,"PENGEMBANGAN","TRADE"
"AKKU","Anugerah Kagum Karya Utama Tbk","2004-11-01T00:00:00",6449463636,"PENGEMBANGAN","TRADE"
"APII","Arita Prima Indonesia Tbk.","2013-10-29T00:00:00",1075760000,"PENGEMBANGAN","TRADE"
"ARTA","Arthavest Tbk","2002-11-05T00:00:00",446674175,"PENGEMBANGAN","TRADE"
"AYLS","Agro Yasa Lestari Tbk.","2020-02-12T00:00:00",853423200,"Pengembangan","TRADE"
"BAYU","Bayu Buana Tbk","1989-10-30T00:00:00",353220780,"Pengembangan","TRADE"
"BLTZ","Graha Layar Prima Tbk.","2014-04-10T00:00:00",873937142,"PENGEMBANGAN","TRADE"
"BLUE","Berkah Prima Perkasa Tbk.","2019-07-08T00:00:00",418000000,"PENGEMBANGAN","TRADE"
"BNBR","Bakrie & Brothers Tbk","1989-08-28T00:00:00",20863053480,"PENGEMBANGAN","TRADE"
"BOGA","Bintang Oto Global Tbk.","2016-12-19T00:00:00",3803526210,"PENGEMBANGAN","TRADE"
"BOLA","Bali Bintang Sejahtera Tbk.","2019-06-17T00:00:00",6000000000,"PENGEMBANGAN","TRADE"
"BUVA","Bukit Uluwatu Villa Tbk.","2010-07-12T00:00:00",6811269200,"Pengembangan","TRADE"
"CARS","Industri dan Perdagangan Bintr","2017-04-10T00:00:00",15000000000,"PENGEMBANGAN","TRADE"
"CLAY","Citra Putra Realty Tbk.","2019-01-18T00:00:00",2570000000,"PENGEMBANGAN","TRADE"
"CLPI","Colorpak Indonesia Tbk.","2001-11-30T00:00:00",306338500,"PENGEMBANGAN","TRADE"
"DAYA","Duta Intidaya Tbk.","2016-06-28T00:00:00",2420547025,"PENGEMBANGAN","TRADE"
"DFAM","Dafam Property Indonesia Tbk.","2018-04-27T00:00:00",1899582490,"PENGEMBANGAN","TRADE"
